0,3,0,22,1,0,7.25,8,1
1,1,1,38,1,0,71.2833,3,3
1,3,1,26,0,0,7.925,8,1
1,1,1,35,1,0,53.1,3,1
0,3,0,35,0,0,8.05,8,1
0,3,0,24,0,0,8.4583,8,2
0,1,0,54,0,0,51.8625,5,1
0,3,0,2,3,1,21.075,8,1
1,3,1,27,0,2,11.1333,8,1
1,2,1,14,1,0,30.0708,8,3
1,3,1,4,1,1,16.7,7,1
1,1,1,58,0,0,26.55,3,1
0,3,0,20,0,0,8.05,8,1
0,3,0,39,1,5,31.275,8,1
0,3,1,14,0,0,7.8542,8,1
1,2,1,55,0,0,16,8,1
0,3,0,2,4,1,29.125,8,2
1,2,0,29,0,0,13,8,1
0,3,1,31,1,0,18,8,1
1,3,1,24,0,0,7.225,8,3
0,2,0,35,0,0,26,8,1
1,2,0,34,0,0,13,4,1
1,3,1,15,0,0,8.0292,8,2
1,1,0,28,0,0,35.5,1,1
0,3,1,8,3,1,21.075,8,1
1,3,1,38,1,5,31.3875,8,1
0,3,0,24,0,0,7.225,8,3
0,1,0,19,3,2,263,3,1
1,3,1,24,0,0,7.8792,8,2
0,3,0,24,0,0,7.8958,8,1
0,1,0,40,0,0,27.7208,8,3
1,1,1,37,1,0,146.5208,2,3
1,3,1,24,0,0,7.75,8,2
0,2,0,66,0,0,10.5,8,1
0,1,0,28,1,0,82.1708,8,3
0,1,0,42,1,0,52,8,1
1,3,0,24,0,0,7.2292,8,3
0,3,0,21,0,0,8.05,8,1
0,3,1,18,2,0,18,8,1
1,3,1,14,1,0,11.2417,8,3
0,3,1,40,1,0,9.475,8,1
0,2,1,27,1,0,21,8,1
0,3,0,24,0,0,7.8958,8,3
1,2,1,3,1,2,41.5792,8,3
1,3,1,19,0,0,7.8792,8,2
0,3,0,24,0,0,8.05,8,1
0,3,0,24,1,0,15.5,8,2
1,3,1,24,0,0,7.75,8,2
0,3,0,24,2,0,21.6792,8,3
0,3,1,18,1,0,17.8,8,1
0,3,0,7,4,1,39.6875,8,1
0,3,0,21,0,0,7.8,8,1
1,1,1,49,1,0,76.7292,4,3
1,2,1,29,1,0,26,8,1
0,1,0,65,0,1,61.9792,2,3
1,1,0,37,0,0,35.5,3,1
1,2,1,21,0,0,10.5,8,1
0,3,0,28.5,0,0,7.2292,8,3
1,2,1,5,1,2,27.75,8,1
0,3,0,11,5,2,46.9,8,1
0,3,0,22,0,0,7.2292,8,3
1,1,1,38,0,0,80,2,1
0,1,0,45,1,0,83.475,3,1
0,3,0,4,3,2,27.9,8,1
0,1,0,37,0,0,27.7208,8,3
1,3,0,24,1,1,15.2458,8,3
1,2,1,29,0,0,10.5,6,1
0,3,0,19,0,0,8.1583,8,1
1,3,1,17,4,2,7.925,8,1
0,3,0,26,2,0,8.6625,8,1
0,2,0,32,0,0,10.5,8,1
0,3,1,16,5,2,46.9,8,1
0,2,0,21,0,0,73.5,8,1
0,3,0,26,1,0,14.4542,8,3
1,3,0,32,0,0,56.4958,8,1
0,3,0,25,0,0,7.65,6,1
0,3,0,24,0,0,7.8958,8,1
0,3,0,24,0,0,8.05,8,1
